objectid,title,creator,date,description,subject,location,source,type,format,object_location,image_thumb
2502,Memory Piece,Other?,1994,,Spirit Jar,Spelman,"Found Object(s), Text",Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Spelman/IMG_2502.HEIC,/objects/IMG_2502 Small.jpeg
2503,Memory Piece,Other?,1994,,Spirit Jar,Spelman,"Found Object(s), Text",Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Spelman/IMG_2503.HEIC,/objects/IMG_2503 Small.jpeg
2504,Memory Piece,Other?,1994,,Spirit Jar,Spelman,"Found Object(s), Text",Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Spelman/IMG_2504.HEIC,/objects/IMG_2504 Small.jpeg
2505,Memory Piece,Other?,1994,,Spirit Jar,Spelman,"Found Object(s), Text",Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Spelman/IMG_2505.HEIC,/objects/IMG_2505 Small.jpeg
2517,Memory Piece,Other?,1994,,Spirit Jar,Spelman,"Found Object(s), Text",Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Spelman/IMG_2517.HEIC,/objects/IMG_2517 Small.jpeg
2518,Memory Piece,Other?,1994,,Spirit Jar,Spelman,"Found Object(s), Text",Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Spelman/IMG_2518.HEIC,/objects/IMG_2518 Small.jpeg
2519,Memory Piece,Other?,1994,,Spirit Jar,Spelman,"Found Object(s), Text",Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Spelman/IMG_2519.HEIC,/objects/IMG_2519 Small.jpeg
2520,Memory Piece,Other?,1994,,Spirit Jar,Spelman,"Found Object(s), Text",Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Spelman/IMG_2520.HEIC,/objects/IMG_2520 Small.jpeg
3226,The Doctor,Other?,,,The Doctor,GA Museum of Art,Found Object(s),Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Georgia Museum of Art/Logged/The Doctor/IMG_3226.HEIC,/objects/IMG_3226 Small.jpeg
3227,The Doctor,Other?,,,The Doctor,GA Museum of Art,Found Object(s),Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Georgia Museum of Art/Logged/The Doctor/IMG_3227.HEIC,/objects/IMG_3227 Small.jpeg
3228,The Doctor,Other?,,,The Doctor,GA Museum of Art,Found Object(s),Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Georgia Museum of Art/Logged/The Doctor/IMG_3228.HEIC,/objects/IMG_3228 Small.jpeg
3229,The Doctor,Other?,,,The Doctor,GA Museum of Art,Found Object(s),Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Georgia Museum of Art/Logged/The Doctor/IMG_3229.HEIC,/objects/IMG_3229 Small.jpeg
3230,The Doctor,Other?,,,The Doctor,GA Museum of Art,Found Object(s),Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Georgia Museum of Art/Logged/The Doctor/IMG_3230.HEIC,/objects/IMG_3230 Small.jpeg
3231,The Doctor,Other?,,,The Doctor,GA Museum of Art,Found Object(s),Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Georgia Museum of Art/Logged/The Doctor/IMG_3231.HEIC,/objects/IMG_3231 Small.jpeg
3232,The Doctor,Other?,,,The Doctor,GA Museum of Art,Found Object(s),Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Georgia Museum of Art/Logged/The Doctor/IMG_3232.HEIC,/objects/IMG_3232 Small.jpeg
3233,The Doctor,Other?,,,The Doctor,GA Museum of Art,Found Object(s),Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Georgia Museum of Art/Logged/The Doctor/IMG_3233.HEIC,/objects/IMG_3233 Small.jpeg
3234,The Doctor,Other?,,,The Doctor,GA Museum of Art,Found Object(s),Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Georgia Museum of Art/Logged/The Doctor/IMG_3234.HEIC,/objects/IMG_3234 Small.jpeg
3235,The Doctor,Other?,,,The Doctor,GA Museum of Art,Found Object(s),Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Georgia Museum of Art/Logged/The Doctor/IMG_3235.HEIC,/objects/IMG_3235 Small.jpeg
3236,The Doctor,Other?,,,The Doctor,GA Museum of Art,Found Object(s),Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Georgia Museum of Art/Logged/The Doctor/IMG_3236.HEIC,/objects/IMG_3236 Small.jpeg
3237,The Doctor,Other?,,,The Doctor,GA Museum of Art,Found Object(s),Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Georgia Museum of Art/Logged/The Doctor/IMG_3237.HEIC,/objects/IMG_3237 Small.jpeg
3238,The Doctor,Other?,,,The Doctor,GA Museum of Art,Found Object(s),Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Georgia Museum of Art/Logged/The Doctor/IMG_3238.HEIC,/objects/IMG_3238 Small.jpeg
3239,The Doctor,Other?,,,The Doctor,GA Museum of Art,Found Object(s),Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Georgia Museum of Art/Logged/The Doctor/IMG_3239.HEIC,/objects/IMG_3239 Small.jpeg
